"gene_id","length"
"ENSG00000000003",3688
"ENSG00000000419",4032
"ENSG00000000457",10784
"ENSG00000000460",12134
"ENSG00000000971",12843
"ENSG00000001036",4863
"ENSG00000001084",15247
"ENSG00000001167",4507
"ENSG00000001460",18818
"ENSG00000001461",11892
"ENSG00000001497",8223
"ENSG00000001561",4651
"ENSG00000001617",10162
"ENSG00000001626",11652
"ENSG00000001629",10393
"ENSG00000001630",5622
"ENSG00000001631",18560
"ENSG00000002016",15870
"ENSG00000002079",9890
"ENSG00000002330",4092
"ENSG00000002549",7588
"ENSG00000002586",5511
"ENSG00000002745",3839
"ENSG00000002746",18303
"ENSG00000002822",11673
"ENSG00000002834",14280
"ENSG00000002919",12200
"ENSG00000002933",8935
"ENSG00000003056",9339
"ENSG00000003096",11447
"ENSG00000003137",9810
"ENSG00000003147",11502
"ENSG00000003249",6627
"ENSG00000003393",18415
"ENSG00000003400",19108
"ENSG00000003402",31537
"ENSG00000003436",17769
"ENSG00000003509",9707
"ENSG00000003756",21603
"ENSG00000003987",8599
"ENSG00000003989",14410
"ENSG00000004059",4332
"ENSG00000004139",14209
"ENSG00000004142",4706
"ENSG00000004399",18643
"ENSG00000004455",9610
"ENSG00000004468",9566
"ENSG00000004478",5425
"ENSG00000004487",8558
"ENSG00000004534",16144
"ENSG00000004660",10942
"ENSG00000004700",6110
"ENSG00000004766",17080
"ENSG00000004776",3679
"ENSG00000004777",10391
"ENSG00000004779",2981
"ENSG00000004799",7395
"ENSG00000004838",8360
"ENSG00000004846",10713
"ENSG00000004864",7736
"ENSG00000004866",15072
"ENSG00000004897",14900
"ENSG00000004961",2781
"ENSG00000004975",11665
"ENSG00000005007",14492
"ENSG00000005020",7666
"ENSG00000005022",2965
"ENSG00000005059",5199
"ENSG00000005073",4432
"ENSG00000005075",1451
"ENSG00000005100",11864
"ENSG00000005108",13443
"ENSG00000005156",15981
"ENSG00000005175",5453
"ENSG00000005187",8457
"ENSG00000005189",10070
"ENSG00000005194",10988
"ENSG00000005206",17441
"ENSG00000005238",12873
"ENSG00000005243",4800
"ENSG00000005249",4752
"ENSG00000005302",12538
"ENSG00000005339",21156
"ENSG00000005379",19725
"ENSG00000005381",5187
